registration number,registration date,application number,application date,authors,authors count,right holders,contact to third parties,program name,creation year,registration publish date,registration publish number,actual,publication URL
2019618074,20190626,2019617173,20190611,Малышева Ирина Николаевна (RU),1,"Акционерное общество ""Концерн ""Созвездие"" (RU)",нет,Модуль интерфейса координации параметров команд управления,2017,20190626,7,false,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618074
2019618075,20190626,2019617069,20190611,Малышева Ирина Николаевна (RU),1,"Акционерное общество ""Концерн ""Созвездие"" (RU)",нет,Модуль конфигурирования шаблонов сообщений базы данных технологической системы,2017,20190626,7,false,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618075
2019618076,20190626,2019616985,20190611,,2,Общество с ограниченной ответственностью «Инновационный центр Ай-Теко» (RU),"Москва, 105215, а/я 4, Талыбова Ю.Ю.",Цифровая платформа транспорта и логистики на базе распределенного реестра данных,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618076
2019618077,20190626,2019616982,20190611,Удовенко Станислав Александрович (RU),1,"федеральное государственное автономное образовательное учреждение высшего образования ""Санкт-Петербургский политехнический университет Петра Великого"" (ФГАОУ ВО ""СПбПУ"") (RU)",Тел.: 8(812)552-61-22; e-mail: tisc@spbstu.ru,Thermonova configurator,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618077
2019618078,20190626,2019617066,20190611,"Симоненко Иван Владимирович (RU)
Озарчук Виктор Степанович (RU)
Елисеев Евгений Алексеевич (RU)",3,федеральное государственное автономное образовательное учреждение высшего образования “Санкт-Петербургский политехнический университет Петра Великого” (ФГАОУ ВО “СПбПУ”) (RU),"88125526122, tisc@spbstu.ru","Программа для изучения и контроля знаний условных знаков, применяемых при разработке и оформлении документов по связи",2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618078
2019618079,20190626,2019617065,20190611,"Симоненко Иван Владимирович (RU)
Толмачева Алина Ивановна (RU)
Елисеев Евгений Алексеевич (RU)",3,федеральное государственное автономное образовательное учреждение высшего образования “Санкт-Петербургский политехнический университет Петра Великого” (ФГАОУ ВО “СПбПУ”) (RU),"88125526122, tisc@spbstu.ru","Программа для изучения и контроля знаний по применению сигнальных средств управления (флажки, фонари)",2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618079
2019618080,20190626,2019617026,20190610,"Климов Дмитрий Игоревич (RU)
Романова Диана Юрьевна (RU)
Хромов Олег Евгеньевич (RU)
Мягков Андрей Павлович (RU)
Нестерова Елена Владимировна (RU)",5,Акционерное общество «Российская корпорация ракетно-космического приборостроения и информационных систем» (АО «Российские космические системы») (RU),"Адрес: 111250, Москва, ул. Авиамоторная, 53, АО «Российские космические системы»; e-mail: patent@spacecorp.ru",Программа проверки прибора приёма-передачи информационных массивов и контроля проверочной аппаратуры,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618080
2019618081,20190626,2019617023,20190610,"Климов Дмитрий Игоревич (RU)
Кушпель Тимур Игоревич (RU)
Мамедов Теймур Теймурович (RU)
Мягков Андрей Павлович (RU)
Нестерова Елена Владимировна (RU)
Хромов Олег Евгеньевич (RU)",6,Акционерное общество «Российская корпорация ракетно-космического приборостроения и информационных систем» (АО «Российские космические системы») (RU),"Адрес: 111250, Москва, ул. Авиамоторная, 53, АО «Российские космические системы»; e-mail: patent@spacecorp.ru",Программа реализации приёма-передачи информационных массивов на ПЛИС,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618081
2019618082,20190626,2019616949,20190608,Коптелова Валентина Александровна (RU),1,Коптелова Валентина Александровна (RU),,Простой графический интерфейс для геометрических фигур,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618082
2019618083,20190626,2019616719,20190607,Градов Илья Павлович (RU),1,Акционерное общество Лаборатория новых информационных технологий «ЛАНИТ» (RU),нет,Advanced Reports Solution (ARS),2012,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618083
2019618084,20190626,2019616950,20190607,"Грусовский Яков Вячеславович (RU)
Петраковский Сергей Германович (RU)",2,Общество с ограниченной ответственностью «Оригами» (RU),Тел: 8(495)357-15-77; e-mail: info@origami.ru,Программа для автоматизации контекстной рекламы «Оригами»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618084
2019618085,20190626,2019616679,20190607,,2,Общество с ограниченной ответственностью «ЛУКОЙЛ-Технологии» (RU),нет,«ИСУ Налоговый мониторинг. Тираж»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618085
2019618086,20190626,2019616941,20190608,Коптелова Валентина Александровна (RU),1,Коптелова Валентина Александровна (RU),нет,Анализ массива чисел и преобразование их в матрицу с аналитическим выявлением минимума и максимума,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618086
2019618087,20190626,2019612408,20190311,,6,"Общество с ограниченной ответственностью ""АЛЬМАКОД"" (RU)","+7(903)6883606, y.zobnin@almacode.ru","""Интегрированная среда разработки приложений для микроконтроллеров ""AlmaCode Studio for ARM"" (ACS-ARM"")",2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618087
2019618088,20190626,2019614387,20190419,"Баязитов Альфис Альбертович (RU)
Фаттахов Яхъя Валиевич (RU)
Фахрутдинов Альберт Ринатович (RU)
Хабипов Рамиль Шарипзянович (RU)
Шагалов Валерий Александрович (RU)
Чумаров Павел Искандерович (RU)",6,Федеральное государственное бюджетное учреждение науки «Федеральный исследовательский центр «Казанский научный центр Российской академии наук» (RU),bayazitov.alfis@kfti.knc.ru,«Программа для расчета и оптимизации магнитного поля высокой однородности от контура с током произвольной формы»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618088
2019618089,20190626,2019615877,20190522,"Искаков Ирлан Жангазыевич (RU)
Боровков Михаил Иванович (RU)
Алексеев Геннадий Валентинович (RU)
Бриденко Игорь Иосифович (RU)
Ланина Елена Евгеньевна (RU)
Туровская Мария Сергеевна (RU)",6,Автономная некоммерческая организация высшего образования «Университет при Межпарламентской Ассамблее ЕврАзЭС» (RU),"194044, РФ, Санкт-Петербург, ул. Смолячкова, д. 14, корп.1, лит.Б",Виртуальная лабораторная работа «Выявление фальсификата алкогольных напитков»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618089
2019618090,20190626,2019614472,20190423,"Зуев Георгий Алексеевич (RU)
Куроптев Андрей Владимирович (RU)",2,Общество с ограниченной ответственностью «Прайсер» (RU),info@beorg.ru,«Прайсер» («Pricer»),2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618090
2019618091,20190626,2019614720,20190426,"Желтов Валериан Павлович (RU)
Желтов Павел Валерианович (RU)",2,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Чувашский государственный университет имени И.Н. Ульянова"" (RU)","Московский пр., 15, г. Чебоксары, 428015; тел 8 8352 58 38 04 доп. 2037",Программа морфологического анализа «MorfParser»,2017,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618091
